year,sid,customer_rows,providers,distinct_providers,max_distance_km
2023,588282.0,2,"LAPAN, NASA",2,0.010041566205948012
2023,588283.0,2,"LAPAN, NASA",2,0.009627295215085289
2023,589155.0,2,"LAPAN, NASA",2,0.0045828550309608964
2023,589161.0,2,"LAPAN, NASA",2,0.015983536023078254
2023,589164.0,2,"LAPAN, NASA",2,0.004549733047312984
2023,589166.0,2,"LAPAN, NASA",2,0.015938459117265193
2023,589319.0,2,"LAPAN, NASA",2,0.024617956197568857
2023,589320.0,2,"LAPAN, NASA",2,0.00635901433738595
2023,589321.0,2,"LAPAN, NASA",2,0.025348499680775113
2023,589415.0,2,"LAPAN, NASA",2,0.005822293031361118
2023,589868.0,2,"LAPAN, NASA",2,0.008082322109030515
2023,589932.0,2,"LAPAN, NASA",2,0.005014975131429724
2023,590020.0,2,"LAPAN, NASA",2,0.009463691016035669
2023,590021.0,2,"LAPAN, NASA",2,0.04217792300185097
2023,590022.0,2,"LAPAN, NASA",2,0.03956501606802342
2023,590172.0,2,"LAPAN, NASA",2,0.0215616280106406
2023,590286.0,2,"LAPAN, NASA",2,0.01660982428856502
2023,590287.0,2,"LAPAN, NASA",2,0.016801207235203525
2023,590301.0,2,"LAPAN, NASA",2,0.023837798688094932
2023,590398.0,2,"LAPAN, NASA",2,0.013207355406149696
2023,590399.0,2,"LAPAN, NASA",2,0.014122647918347551
2023,590416.0,2,"LAPAN, NASA",2,0.006707905927215664
2023,591740.0,2,"LAPAN, NASA",2,0.010098907266802794
2023,591741.0,2,"LAPAN, NASA",2,0.00952424719633701
2023,591742.0,2,"LAPAN, NASA",2,0.03268031115000372
2023,591743.0,2,"LAPAN, NASA",2,0.03244792742296532
2023,591842.0,2,"LAPAN, NASA",2,0.009299280363341215
2023,591917.0,2,"LAPAN, NASA",2,0.008961267852733379
2023,592062.0,2,"LAPAN, NASA",2,0.01644270286365521
2023,592063.0,2,"LAPAN, NASA",2,0.015932350858694915
2023,593403.0,2,"LAPAN, NASA",2,0.007331857938732114
2023,593408.0,2,"LAPAN, NASA",2,0.010573468183031941
2023,593633.0,2,"LAPAN, NASA",2,0.010152598205938146
2023,593634.0,2,"LAPAN, NASA",2,0.014661877119031726
2023,593635.0,2,"LAPAN, NASA",2,0.01450918490077965
2023,593916.0,2,"LAPAN, NASA",2,0.039627629708039104
2023,594636.0,2,"LAPAN, NASA",2,0.012857528093671418
2023,595263.0,2,"LAPAN, NASA",2,0.006310431665627874
2023,595385.0,2,"LAPAN, NASA",2,0.022874547974071246
2023,595387.0,2,"LAPAN, NASA",2,0.057216338667001126
2023,595388.0,2,"LAPAN, NASA",2,0.057974360594027996
2023,595919.0,2,"LAPAN, NASA",2,0.01584155860431804
2023,595933.0,2,"LAPAN, NASA",2,0.015621921544801567
2023,596179.0,2,"LAPAN, NASA",2,0.012136321794543605
2023,596182.0,2,"LAPAN, NASA",2,0.006726934803849846
2023,597270.0,2,"LAPAN, NASA",2,0.013279479184636485
2023,597287.0,2,"LAPAN, NASA",2,0.013363312253071233
2023,597288.0,2,"LAPAN, NASA",2,0.013304452431067506
2023,597289.0,2,"LAPAN, NASA",2,0.014131496471143387
2023,597495.0,2,"LAPAN, NASA",2,0.026276119278759676
2023,597496.0,2,"LAPAN, NASA",2,0.026748768064881336
2023,597497.0,2,"LAPAN, NASA",2,0.027653456318545287
2023,597665.0,2,"LAPAN, NASA",2,0.013934878732641539
2023,598803.0,2,"LAPAN, NASA",2,0.01297498610517159
2023,598893.0,2,"LAPAN, NASA",2,0.0420752060449804
2023,598894.0,2,"LAPAN, NASA",2,0.04317638576729946
2023,599453.0,2,"LAPAN, NASA",2,0.0072395102046470886
2023,599692.0,2,"LAPAN, NASA",2,0.004901903914661431
2023,599694.0,2,"LAPAN, NASA",2,0.005127971100723057
2023,600199.0,2,"LAPAN, NASA",2,0.0037345233710601184
2023,600382.0,2,"LAPAN, NASA",2,0.05648852285693515
2023,600385.0,2,"LAPAN, NASA",2,0.05510625991494037
2023,600386.0,2,"LAPAN, NASA",2,0.04024715929526398
2023,600396.0,2,"LAPAN, NASA",2,0.027046642965697816
2023,600397.0,2,"LAPAN, NASA",2,0.04172948147918794
2023,600560.0,2,"LAPAN, NASA",2,0.002677422408443103
2023,601014.0,2,"LAPAN, NASA",2,0.004995182191134584
2023,601016.0,2,"LAPAN, NASA",2,0.014568594968938878
2023,601017.0,2,"LAPAN, NASA",2,0.014884807911143437
2023,601348.0,2,"LAPAN, NASA",2,0.002151886130004615
2023,601353.0,2,"LAPAN, NASA",2,0.003388888597889006
2023,601354.0,2,"LAPAN, NASA",2,0.00266901205846317
2023,601355.0,2,"LAPAN, NASA",2,0.002128863819258487
