customer_id,year,Sumber,Satellite,primary_500m,same_sat_2km,any_sat_500m,same_sat_wide_time_500m
2019:356,2019,LAPAN,Aqua,False,False,True,False
2019:357,2019,LAPAN,Aqua,False,True,True,False
2019:362,2019,LAPAN,Aqua,False,False,True,False
2019:363,2019,LAPAN,Aqua,False,False,True,False
2019:364,2019,LAPAN,Aqua,False,False,True,False
2019:366,2019,ASMC,NOAA20,False,False,False,False
2019:367,2019,ASMC,NOAA20,False,False,False,False
2019:368,2019,ASMC,NOAA20,False,False,False,False
2019:369,2019,ASMC,NOAA20,False,False,False,False
2019:370,2019,LAPAN,Terra,False,False,False,False
2019:371,2019,LAPAN,Terra,False,False,False,False
2019:372,2019,LAPAN,Terra,False,False,False,False
2019:373,2019,LAPAN,Terra,False,False,False,False
2019:374,2019,LAPAN,Terra,False,False,False,False
2019:375,2019,LAPAN,Terra,False,False,False,False
2019:376,2019,LAPAN,Terra,False,False,False,False
2019:377,2019,LAPAN,Terra,False,False,False,False
2019:378,2019,LAPAN,Terra,False,False,False,False
2019:379,2019,LAPAN,Terra,False,False,False,False
2019:380,2019,LAPAN,Terra,False,False,False,False
2019:417,2019,LAPAN,Aqua,False,False,True,False
2019:419,2019,LAPAN,Aqua,False,False,True,False
2019:421,2019,LAPAN,Aqua,False,False,True,False
2019:422,2019,LAPAN,Aqua,False,False,True,False
2019:423,2019,LAPAN,Aqua,False,False,True,False
2019:425,2019,LAPAN,Aqua,False,False,True,False
2019:426,2019,LAPAN,Aqua,False,False,True,False
2019:427,2019,LAPAN,Aqua,False,False,True,False
2019:428,2019,LAPAN,Aqua,False,False,True,False
2019:430,2019,LAPAN,Aqua,False,False,True,False
2019:431,2019,LAPAN,Aqua,False,False,True,False
2019:432,2019,LAPAN,Aqua,False,False,True,False
2019:433,2019,LAPAN,Aqua,False,False,True,False
2019:434,2019,LAPAN,Aqua,False,False,False,False
2019:436,2019,LAPAN,Aqua,False,False,False,False
2019:438,2019,ASMC,NOAA20,False,False,False,False
2019:440,2019,LAPAN,Aqua,False,False,True,False
2019:442,2019,LAPAN,Aqua,False,False,True,False
2019:443,2019,LAPAN,Aqua,False,False,True,False
