customer_index,sid,distance_km,delta_minutes,same_satellite,unknown_satellite,time_residual_minutes,candidate_count
500,16720,0.043640042873977616,396.0,True,False,-24.0,1
502,16721,0.03919424879026109,396.0,True,False,-24.0,1
503,907806,0.2516373693434063,383.0,True,False,-37.0,3
504,16705,0.046377624781004344,396.0,True,False,-24.0,1
505,16709,0.04989989695236695,396.0,True,False,-24.0,1
506,16708,0.04923373393501908,396.0,True,False,-24.0,1
507,907904,0.20937273407356774,383.0,True,False,-37.0,2
508,907861,0.26338352790329783,383.0,True,False,-37.0,4
509,908123,0.20659429068873664,383.0,True,False,-37.0,2
510,907808,0.24555267084033172,383.0,True,False,-37.0,2
511,16710,0.04570797326778315,396.0,True,False,-24.0,1
512,16707,0.04486755481030329,396.0,True,False,-24.0,1
513,16711,0.04214878853886277,396.0,True,False,-24.0,1
514,16712,0.04232233074040606,396.0,True,False,-24.0,1
515,907864,0.24525423592011794,383.0,True,False,-37.0,3
516,907888,0.27773975776408794,383.0,True,False,-37.0,4
517,907852,0.2666079024537354,383.0,True,False,-37.0,2
518,908116,0.2544554089006207,383.0,True,False,-37.0,1
519,16694,0.0478980322185276,396.0,True,False,-24.0,1
520,16706,0.048489001203179685,396.0,True,False,-24.0,1
526,16814,0.019901833463666623,371.0,True,False,-49.0,1
527,16822,0.026079878035959923,371.0,True,False,-49.0,1
528,16824,0.020734166528811732,371.0,True,False,-49.0,1
529,16820,0.02407487339989295,371.0,True,False,-49.0,1
530,16821,0.01973567605598082,371.0,True,False,-49.0,1
531,16812,0.025221404759257552,371.0,True,False,-49.0,1
532,16817,0.016732090112257673,371.0,True,False,-49.0,1
533,16815,0.0234034890817448,371.0,True,False,-49.0,1
534,16837,0.024405385752128517,371.0,True,False,-49.0,1
535,16839,0.02331518595422555,371.0,True,False,-49.0,1
536,16816,0.019691516025523496,371.0,True,False,-49.0,1
537,16836,0.02400510231397936,371.0,True,False,-49.0,1
538,16825,0.026002133644518928,371.0,True,False,-49.0,1
539,16823,0.023223085820395107,371.0,True,False,-49.0,1
540,16818,0.024014734895173754,371.0,True,False,-49.0,1
541,16811,0.017804042861662598,371.0,True,False,-49.0,1
542,16813,0.02217782223728555,371.0,True,False,-49.0,1
543,16838,0.021860949332164335,371.0,True,False,-49.0,1
545,16826,0.020533216081601434,371.0,True,False,-49.0,1
546,16819,0.017158063473658322,371.0,True,False,-49.0,1
547,908741,0.33294991531784407,382.0,True,False,-38.0,4
548,908748,0.32570413631952927,382.0,True,False,-38.0,4
549,908685,0.4353634292153897,382.0,True,False,-38.0,1
550,908744,0.31230290769956404,382.0,True,False,-38.0,4
551,908745,0.3063932362270237,382.0,True,False,-38.0,4
552,908686,0.4477435342574837,382.0,True,False,-38.0,2
553,16913,0.020759753231479234,374.0,True,False,-46.0,1
554,16912,0.018665038984590186,374.0,True,False,-46.0,1
555,16924,0.021777237520114432,374.0,True,False,-46.0,1
556,16920,0.01263131211243772,374.0,True,False,-46.0,1
557,16917,0.021012882886207833,374.0,True,False,-46.0,1
558,16916,0.01668823903217073,374.0,True,False,-46.0,1
567,16907,0.011945445378458108,374.0,True,False,-46.0,1
