year,rule,listed_and_selected,unlisted_selected,listed_missed,unlisted_not_selected,selected,listed,listed_recall,listed_precision_proxy,listed_f1_proxy
2023,r=0.5km;t=60min;n>=5,3696,13501,12251,45334,17197,15947,0.2317677306076378,0.21492120718730012,0.22302679217958002
2023,r=0.5km;t=1440min;n>=2,14036,46761,1911,12074,60797,15947,0.8801655483790054,0.230866654604668,0.3657875534243719
2023,r=0.5km;t=1440min;n>=3,11918,38347,4029,20488,50265,15947,0.7473505988587195,0.23710335223316423,0.3599951670392074
2023,r=0.5km;t=1440min;n>=5,8008,27446,7939,31389,35454,15947,0.5021634163165486,0.22587014159192192,0.31158926869127057
2023,r=1km;t=0min;n>=2,11860,39632,4087,19203,51492,15947,0.7437135511381451,0.23032704109376215,0.35172526283011313
2023,r=1km;t=0min;n>=3,8892,28651,7055,30184,37543,15947,0.557597040195648,0.23684841381882107,0.3324733595064498
2023,r=1km;t=0min;n>=5,5183,17727,10764,41108,22910,15947,0.32501410923684704,0.22623308598865124,0.26677303960676324
2023,r=1km;t=10min;n>=2,12084,40582,3863,18253,52666,15947,0.7577600802658807,0.22944594235370067,0.35223645664815706
2023,r=1km;t=10min;n>=3,9141,29659,6806,29176,38800,15947,0.57321126230639,0.23559278350515464,0.33393610608800484
2023,r=1km;t=10min;n>=5,5412,18424,10535,40411,23836,15947,0.33937417696118394,0.22705151871119314,0.27207601236709145
2023,r=1km;t=30min;n>=2,12436,41941,3511,16894,54377,15947,0.7798331974666082,0.22869963403644925,0.35367726522950915
2023,r=1km;t=30min;n>=3,9590,31238,6357,27597,40828,15947,0.6013670282811814,0.2348878220828843,0.33782474680757374
2023,r=1km;t=30min;n>=5,5797,19561,10150,39274,25358,15947,0.36351664889947954,0.22860635696821516,0.2806924101198402
2023,r=1km;t=60min;n>=2,13760,45832,2187,13003,59592,15947,0.8628582178466169,0.2309034769767754,0.36431512198996546
2023,r=1km;t=60min;n>=3,11672,37285,4275,21550,48957,15947,0.7319244999059384,0.23841330146863574,0.35966966596819916
2023,r=1km;t=60min;n>=5,8608,27526,7339,31309,36134,15947,0.5397880479086976,0.2382243870039298,0.33056200917801115
2023,r=1km;t=1440min;n>=2,14817,50147,1130,8688,64964,15947,0.9291402771681194,0.2280801674773721,0.36625427939340754
2023,r=1km;t=1440min;n>=3,13574,44136,2373,14699,57710,15947,0.8511945820530508,0.2352105354357997,0.3685732516936612
2023,r=1km;t=1440min;n>=5,11524,36885,4423,21950,48409,15947,0.7226437574465416,0.23805490714536554,0.3581328858226117
2023,r=2km;t=0min;n>=2,13158,43900,2789,14935,57058,15947,0.8251081708158274,0.2306074520663185,0.3604684610643107
2023,r=2km;t=0min;n>=3,10616,33581,5331,25254,44197,15947,0.6657051483037562,0.24019729845917143,0.3530194200585262
2023,r=2km;t=0min;n>=5,7500,23930,8447,34905,31430,15947,0.4703078949018624,0.23862551702195356,0.3166093251999916
2023,r=2km;t=10min;n>=2,13277,44478,2670,14357,57755,15947,0.832570389414937,0.2298848584538135,0.360288730292258
